# Num, Pluto, HD, 22, 0, 22
0, 2014-06-21, 2014-06-21
1, 2014-06-23, 2014-08-12
2, 2014-06-24, 2014-06-21
3, 2014-06-28, 2014-08-26
4, 2014-07-01, 2015-05-04
5, 2014-07-02, 2014-06-21
6, 2014-08-16, 2015-05-04
7, 2014-08-18, 2015-05-06
8, 2014-08-22, 2015-06-29
9, 2014-08-23, 2015-05-04
10, 2014-08-23, 2015-07-03
11, 2014-08-25, 2015-08-02
12, 2014-08-26, 2015-08-24
13, 2014-09-05, 2014-06-21
14, 2015-05-03, 2014-08-12
15, 2015-05-06, 2015-05-06
16, 2015-06-30, 2014-08-26
17, 2015-08-02, 2015-05-06
18, 2015-08-02, 2015-05-04
19, 2015-08-02, 2015-05-04
20, 2015-08-24, 2015-05-06
21, 2015-09-20, 2015-06-29
